"Код";"Наименование";"Код GIVZ";"Состояние подписи";
"104";"?Территория с особым статусом Китай-город";"111";"Запись не подписана";
"231";"?Территория с особым статусом Шереметевский";"318";"Запись не подписана";
"333";"?Южное Измайлово";"0";"Запись не подписана";
"511";"?Загородный";"0";"Запись не подписана";
"527";"?Павелецкий";"0";"Запись не подписана";
"529";"?Симоновский";"0";"Запись не подписана";
"1001";"?Район N 1";"1001";"Запись не подписана";
"1002";"?Район N 2";"1002";"Запись не подписана";
"1003";"?Район N 3";"1003";"Запись не подписана";
"1004";"?Район N 4";"1004";"Запись не подписана";
"1006";"Территориально-промышленная зона с особым статусом";"1006";"Запись не подписана";
"1007";"?Матушкино-Савелки";"1007";"Запись не подписана";
"1008";"?Панфиловский";"1008";"Запись не подписана";
"101";"Басманный район";"102";"Запись не подписана";
"102";"район Арбат";"101";"Запись не подписана";
"103";"район Замоскворечье";"103";"Запись не подписана";
"105";"Красносельский район";"104";"Запись не подписана";
"107";"Мещанский район";"105";"Запись не подписана";
"109";"Пресненский район";"106";"Запись не подписана";
"111";"Таганский район";"107";"Запись не подписана";
"113";"Тверской район";"108";"Запись не подписана";
"115";"район Хамовники";"109";"Запись не подписана";
"117";"район Якиманка";"110";"Запись не подписана";
"201";"Алексеевский район";"301";"Запись не подписана";
"203";"Алтуфьевский район";"302";"Запись не подписана";
"205";"Бабушкинский район";"303";"Запись не подписана";
"207";"район Бибирево";"304";"Запись не подписана";
"209";"Бутырский район";"305";"Запись не подписана";
"211";"район Лианозово";"306";"Запись не подписана";
"213";"Лосиноостровский район";"307";"Запись не подписана";
"215";"район Марфино";"308";"Запись не подписана";
"217";"район Марьина Роща";"309";"Запись не подписана";
"219";"Останкинский район";"310";"Запись не подписана";
"221";"район Отрадное";"311";"Запись не подписана";
"223";"район Ростокино";"312";"Запись не подписана";
"225";"район Свиблово";"313";"Запись не подписана";
"227";"район Северное Медведково";"314";"Запись не подписана";
"229";"район Северный";"315";"Запись не подписана";
"233";"район Южное Медведково";"316";"Запись не подписана";
"235";"Ярославский район";"317";"Запись не подписана";
"301";"район Богородское";"403";"Запись не подписана";
"303";"район Вешняки";"404";"Запись не подписана";
"305";"район Восточное Измайлово";"405";"Запись не подписана";
"307";"район Восточный";"414";"Запись не подписана";
"309";"район Гольяново";"406";"Запись не подписана";
"311";"район Ивановское";"407";"Запись не подписана";
"313";"район Измайлово";"408";"Запись не подписана";
"315";"район Косино-Ухтомский";"409";"Запись не подписана";
"317";"район Новогиреево";"411";"Запись не подписана";
"319";"район Новокосино";"412";"Запись не подписана";
"321";"район Метрогородок";"410";"Запись не подписана";
"323";"район Перово";"413";"Запись не подписана";
"325";"район Северное Измайлово";"416";"Запись не подписана";
"327";"район Соколиная Гора";"417";"Запись не подписана";
"329";"район Сокольники";"418";"Запись не подписана";
"331";"район Преображенское";"415";"Запись не подписана";
"401";"район Выхино-Жулебино";"504";"Запись не подписана";
"403";"район Капотня";"505";"Запись не подписана";
"405";"район Кузьминки";"506";"Запись не подписана";
"407";"район Лефортово";"507";"Запись не подписана";
"409";"район Люблино";"508";"Запись не подписана";
"411";"район Марьино";"509";"Запись не подписана";
"413";"район Некрасовка";"512";"Запись не подписана";
"415";"Нижегородский район";"510";"Запись не подписана";
"417";"район Печатники";"511";"Запись не подписана";
"709";"?Кутузовский";"0";"Запись не подписана";
"711";"?Матвеевское";"0";"Запись не подписана";
"715";"?Мосфильмовский";"0";"Запись не подписана";
"717";"?Никулино";"0";"Запись не подписана";
"727";"?Рублево";"0";"Запись не подписана";
"907";"?Бусиново";"0";"Запись не подписана";
"503";"район Бирюлёво Западное";"607";"Запись не подписана";
"507";"Даниловский район";"609";"Запись не подписана";
"515";"район Москворечье-Сабурово";"612";"Запись не подписана";
"519";"район Нагатинский Затон";"614";"Запись не подписана";
"525";"район Орехово-Борисово Южное";"617";"Запись не подписана";
"533";"район Чертаново Северное";"619";"Запись не подписана";
"603";"Гагаринский район";"702";"Запись не подписана";
"615";"район Северное Бутово";"708";"Запись не подписана";
"621";"район Южное Бутово";"711";"Запись не подписана";
"707";"район Кунцево";"807";"Запись не подписана";
"725";"район Раменки";"815";"Запись не подписана";
"733";"район Филёвский Парк";"818";"Запись не подписана";
"801";"район Куркино";"901";"Запись не подписана";
"815";"район Южное Тушино";"908";"Запись не подписана";
"903";"район Беговой";"202";"Запись не подписана";
"911";"район Восточное Дегунино";"206";"Запись не подписана";
"921";"район Левобережный";"211";"Запись не подписана";
"925";"район Сокол";"214";"Запись не подписана";
"1012";"район Старое Крюково";"1012";"Запись не подписана";
"1103";"поселение Кленовское";"1203";"Запись не подписана";
"1108";"поселение Роговское";"1208";"Запись не подписана";
"1201";"поселение Внуковское";"1101";"Запись не подписана";
"1204";"поселение Кокошкино";"1104";"Запись не подписана";
"1209";"поселение Сосенское";"1109";"Запись не подписана";
"423";"Южнопортовый район";"515";"Запись не подписана";
"509";"Донской район";"610";"Запись не подписана";
"521";"Нагорный район";"615";"Запись не подписана";
"605";"район Зюзино";"703";"Запись не подписана";
"607";"район Коньково";"704";"Запись не подписана";
"617";"район Тёплый Стан";"709";"Запись не подписана";
"619";"район Черёмушки";"710";"Запись не подписана";
"719";"район Ново-Переделкино";"811";"Запись не подписана";
"805";"район Покровское-Стрешнево";"903";"Запись не подписана";
"807";"район Северное Тушино";"904";"Запись не подписана";
"811";"район Хорошёво-Мнёвники";"906";"Запись не подписана";
"913";"Головинский район";"207";"Запись не подписана";
"922";"Молжаниновский район";"212";"Запись не подписана";
"927";"Тимирязевский район";"215";"Запись не подписана";
