"Код";"Наименование";"Сокращение";"Номер";"Код ППЗ-ПВК";"Код ЕРСЛ";"Признак наличия классов";"Признак наличия курсов";"Код типа";"Признак государственной принадлежности";"Вышестоящее ведомство";"Код ТЕ";"Текстовая запись адреса";"Код адреса";"ФИО руководителя";"Должность руководителя";"Телефон";"Электронная почта";"Сайт";"Состояние подписи";
"000417";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 609";"ГБОУ СОШ № 609";"609";"450000001829;450000001805";"1848";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1010";"124482, город Москва, город Зеленоград, корпус 314";"2106691";"Сорокин Сергей Владимирович";"директор";"(495) 734-27-68";"s609@zou.ru";"s609.zouo.ru";"Запись не подписана";
"000418";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 617 имени генерала Д.Ф. Алексеева";"ГБОУ СОШ № 617";"617";"450000001830";"1851";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124498, город Москва, Берёзовая аллея, дом 7А";"2106500";"Коломацкая Виктория Вадимовна";"директор";"(495) 734-12-36";"s617@zou.ru";"zou.ru/s617test";"Запись не подписана";
"000419";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 618";"ГБОУ СОШ № 618";"618";"450000001831";"1852";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124498, город Москва, город Зеленоград, корпус 429А";"2117096";"Мирошникова Надежда Павловна";"директор";"(495) 536-12-64";"s618@zou.ru";"s618.zouo.ru";"Запись не подписана";
"000421";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 718";"ГБОУ СОШ № 718";"718";"450000001833";"1610";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124460, город Москва, город Зеленоград, корпус 1214";"2106504";"Коржова Ольга Николаевна";"директор";"(495) 531-43-23";"s718@zou.ru";"s718.zouo.ru";"Запись не подписана";
"000422";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 719";"ГБОУ СОШ № 719";"719";"450000001834";"1855";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1012";"124575, город Москва, город Зеленоград, корпус 921А";"2106501";"Борщенко Николай Андреевич";"директор";"(495) 531-43-92";"s719@zou.ru";"s719.zouo.ru";"Запись не подписана";
"000424";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 842";"ГБОУ СОШ № 842";"842";"450000001836;450000001835";"1257";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124482, город Москва, город Зеленоград, корпус 142";"2117105";"Макарова Ольга Евгеньевна";"директор";"(495) 534-14-76";"s842@zou.ru";"s842.zouo.ru";"Запись не подписана";
"000426";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 852";"ГБОУ СОШ № 852";"852";"450000001838";"1579";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124460, город Москва, город Зеленоград, корпус 1115";"2135563";"Шамне Лариса Георгиевна";"директор";"(495) 531-06-62";"s852@zou.ru";"http//s852zouo.ru";"Запись не подписана";
"000427";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 853";"ГБОУ СОШ № 853";"853";"450000001839;450000001802;450000001832";"1873";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1012";"124575, город Москва, город Зеленоград, корпус 913А";"2118627";"Базылева Лариса Николаевна";"директор";"(495) 531-13-95";"s853@zou.ru";"s853.zouo.ru";"Запись не подписана";
"000428";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 854";"ГБОУ СОШ № 854";"854";"450000001840;450000001815";"1874";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1010";"124489, город Москва, город Зеленоград, корпус 603А";"2117076";"Курсаков Андрей Викторович";"директор";"(499) 736-75-15";"s854@zou.ru";"s854.zouo.ru";"Запись не подписана";
"000430";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 909";"ГБОУ СОШ № 909";"909";"450000001842;450000001841";"1876";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1012";"124527, город Москва, город Зеленоград, корпус 818";"2117097";"Прокофьева Елена Анатольевна";"директор";"(495) 531-16-41";"s909@zou.ru";"s909.zouo.ru";"Запись не подписана";
